Go.	Va !
I feel ready.	Je me sens prête.
I feel silly.	Je me sens stupide.
I feel young.	Je me sens jeune.
I felt awful.	Je me sentis affreusement mal.
I felt awful.	Je me suis sentie affreusement mal.
I felt awful.	Je me suis senti affreusement mal.
I felt great.	Je me suis très bien senti.
I felt great.	Je me suis très bien sentie.
I felt happy.	Je me suis senti heureux.
I felt happy.	Je me suis sentie heureuse.
I felt naked.	Je me sentis nu.
I felt naked.	Je me suis senti nu.
I felt naked.	Je me sentis nue.
I felt naked.	Je me suis senti nue.
I felt safer.	Je me sentais davantage en sécurité.
I go jogging.	Je vais courir.
I go to work.	Je vais travailler.
I go to work.	Je me rends au travail.
I go to work.	Je vais au travail.
I got carded.	On m'a demandé ma carte d'identité pour vérifier mon âge.
I got caught.	Je me suis fait prendre.
I got caught.	On m'a attrapé.
I got caught.	On m'a attrapée.
I got dumped.	On m'a largué.
I got dumped.	On m'a larguée.
I got dumped.	J'ai été largué.
I got dumped.	J'ai été larguée.
I got sleepy.	J'ai commencé à avoir sommeil.
I got soaked.	Je me suis fait tremper.
I had doubts.	J'avais des doutes.
I handled it.	Je m'en suis occupé.
I handled it.	J'ai su y faire.
I handled it.	Je m'en suis sorti.
I handled it.	Je m'en suis sortie.
I handled it.	J'ai géré.
I hate beans.	Je déteste les haricots.
I hate flies.	Je déteste les mouches.
I hate liars.	Je déteste les menteurs.
I have a car.	J'ai une voiture.
I have a car.	Je dispose d'une voiture.
I have a cat.	J'ai un chat.
I have a cat.	J'ai une chatte.
I have a dog.	J'ai un chien.
I have a pen.	J’ai un stylo.
I have hives.	J'ai de l'urticaire.
I have needs.	J'ai des besoins.
I have plans.	J'ai des plans.
I have proof.	J'ai une preuve.
I have proof.	Je dispose d'une preuve.
I have to go.	Je dois y aller.
I have to go.	Il me faut y aller.
I have to go.	Il me faut partir.
I have to go.	Il me faut m'en aller.
I have to go.	Je dois partir.
I have to go.	Je dois m'en aller.
I hear music.	J'entends de la musique.
I heard that.	J'ai entendu ça.
I helped out.	J'ai donné un coup de main.
I honor that.	J'honore cela.
I hugged her.	Je l'étreignis.
I improvised.	J'ai improvisé.
I just moved.	Je viens juste de déménager.
I just moved.	Je viens juste de bouger.
I just moved.	Je viens d'être muté.
I keep a dog.	J'élève un chien.
I kissed Tom.	J'ai embrassé Tom.
I like China.	J'aime la Chine.
I like R & B.	J'aime le R&B.
I like bread.	J'aime le pain.
I like chess.	J'apprécie les échecs.
I like fruit.	J'aime les fruits.
I like girls.	J'aime les filles.
I like honey.	J'aime le miel.
I like music.	J'aime la musique.
I like opera.	J'apprécie l'opéra.
I like sushi.	J'aime les sushis.
I like these.	J'aime ceux-ci.
I like these.	J'aime celles-ci.
I like women.	J'apprécie les femmes.
I like women.	J'aime les femmes.
I love books.	J'adore les livres.
I love bread.	J'adore le pain.
I love games.	J'adore les jeux.
I love jokes.	J'adore les blagues.
I love jokes.	J'adore les plaisanteries.
I love music.	J'adore la musique.
I love music.	J'aime beaucoup la musique.
I love trips.	J'aime les voyages.
I loved that.	J'adorais ça.
I loved that.	J'ai adoré ça.
I made a bet.	J'ai effectué un pari.
I made plans.	J'ai élaboré des plans.
I made plans.	J'ai fait des projets.
I made these.	J'ai fait ceux-ci.
I made these.	J'ai fait celles-ci.
I made these.	J'ai confectionné ceux-ci.
I might stay.	Il se pourrait que je reste.
I missed you.	Tu m'as manqué.
I must hurry.	Je dois me grouiller.
I must hurry.	Je dois me dépêcher.
I must hurry.	Je dois me hâter.
I must leave.	Il me faut partir.
I must leave.	Je dois partir.
I must study.	Je dois étudier.
I need a car.	J'ai besoin d'une voiture.
I need a hug.	J'ai besoin d'un câlin.
I need a job.	Il me faut un travail.
I need a job.	J'ai besoin d'un emploi.
I need a job.	J'ai besoin d'un boulot.
I need a map.	Il me faut une carte.
I need a pen.	J'ai besoin d'un stylo.
I need money.	J'ai besoin d'argent.
I need paint.	J'ai besoin de peinture.
I need paint.	Il me faut de la peinture.
I need proof.	J'ai besoin de preuves.
I need proof.	Il me faut des preuves.
I need sleep.	J'ai besoin de sommeil.
I need space.	J'ai besoin d'espace.
I need sugar.	J'ai besoin de sucre.
I need to go.	Je dois y aller.
I need to go.	Je dois partir.
I need to go.	Je dois m'en aller.
I need water.	Il me faut de l'eau.
I need water.	J'ai besoin d'eau.
I never lose.	Je ne perds jamais.
I often read.	Je lis souvent.
I play piano.	Je joue du piano.
I read books.	Je lis des livres.
I rewrote it.	Je l'ai réécrit.
I rewrote it.	Je le réécrivis.
I said maybe.	J'ai dit peut-être.
I see a book.	Je vois un livre.
I see a lion.	Je vois un lion.
I see a rose.	Je vois une rose.
I sell shoes.	Je vends des chaussures.
I started it.	Je l'ai démarré.
I started it.	Je l'ai démarrée.
I started it.	Je l'ai initié.
I started it.	Je l'ai initiée.
I still care.	Je m'en soucie encore.
I suppose so.	Je le suppose.
I sympathize.	Je compatis.
I teach here.	J'enseigne ici.
I thought so.	Je m'en suis douté.
I took risks.	J'ai pris des risques.
I tried hard.	J'ai essayé de toutes mes forces.
I tried that.	J'ai essayé ça.
I understand.	Je comprends.
I understood.	J'ai compris.
I want a lot.	J'en veux plein.
I want a lot.	J'en veux beaucoup.
I want facts.	Il me faut des faits.
I want proof.	Je veux une preuve.
I want these.	Je veux ceux-là.
I want these.	Je veux celles-là.
I want to go.	Je veux partir.
I want to go.	Je veux m'en aller.
I want to go.	Je veux y aller.
I was asleep.	J'étais endormi.
I was asleep.	J'étais endormie.
I was beaten.	J'ai été frappé.
I was beaten.	J'ai été frappée.
I was burned.	J'ai été brûlé.
I was burned.	J'ai été brûlée.
I was canned.	On m'a saqué.
I was framed.	On m'a tendu un piège.
I was lonely.	J'étais esseulé.
I was lonely.	J'étais esseulée.
I was shaken.	J'ai été remué.
I was shaken.	J'ai été remuée.
I was shaken.	J'ai été secoué.
I was shaken.	J'ai été secouée.
I was sleepy.	J'avais envie de dormir.
I was stupid.	J'étais stupide.
I was warned.	J'ai été prévenu.
I was warned.	J'ai été prévenue.
I was warned.	On m'a prévenu.
I was warned.	On m'a prévenue.
I went twice.	J'y suis allé deux fois.
I went twice.	Je m'y suis rendu à deux reprises.
I went twice.	Je m'y suis rendue à deux reprises.
I went twice.	J'y suis allée deux fois.
I will fight.	Je me battrai.
I will learn.	J'apprendrai.
I will shoot.	Je tirerai.
I won't come.	Je ne viendrai pas.
I wonder who.	Je me demande qui.
I wonder why.	Je me demande pourquoi.
I work alone.	Je travaille seul.
I work alone.	Je travaille seule.
I wrote that.	C'est moi qui ai écrit ça.
I wrote that.	J'ai écrit ça.
I'd buy that.	Je l'achèterais.
I'd buy that.	Je le goberais.
I'll ask him.	Je lui demanderai.
I'll be back.	Je reviens.
I'll be back.	Je reviendrai.
I'll be fine.	Ça va aller.
I'll be free.	Je serai libre.
I'll be late.	Je serai en retard.
I'll be nice.	Je serai gentil.
I'll be nice.	Je serai gentille.
I'll explain.	J'expliquerai.
I'll get ice.	J'irai chercher de la glace.
I'll get you.	J'irai te chercher.
I'll get you.	J'irai vous chercher.
I'll get you.	J'irai te prendre.
I'll get you.	J'irai vous prendre.
I'll go back.	Je reviendrai.
I'll go home.	J'irai chez moi.
I'll go look.	J'irai voir.
I'll go next.	J'irai ensuite.
I'll grab it.	Je mettrai la main dessus.
I'll grab it.	Je le saisirai.
I'll grab it.	Je l'attraperai.
I'll jump in.	Je m'y joindrai.
I'll just go.	Je vais juste y aller.
I'll kill it.	Je le tuerai.
I'll open it.	Je l'ouvrirai.
I'll pay you.	Je te paierai.
I'll pay you.	Je vous paierai.
I'll read it.	Je le lirai.
I'll risk it.	Je tenterai le coup.
I'll sign it.	Je le signerai.
I'll sue you.	Je te poursuivrai en justice.
I'll sue you.	Je te ferai un procès.
I'll sue you.	Je vous poursuivrai en justice.
I'll sue you.	Je vous ferai un procès.
I'll take it.	Je le prends.
I'm a coward.	Je suis un couard.
I'm a coward.	Je suis un lâche.
I'm a doctor.	Je suis médecin.
I'm a doctor.	Je suis toubib.
I'm a farmer.	Je suis fermier.
I'm a farmer.	Je suis agriculteur.
I'm a farmer.	Je travaille dans ma ferme.
I'm a farmer.	Je suis un agriculteur.
I'm a purist.	Je suis un puriste.
I'm addicted.	Je suis drogué.
I'm addicted.	Je suis accro.
I'm addicted.	J'ai une assuétude.
I'm all done.	J'ai tout fini.
I'm all done.	J'ai tout terminé.
I'm all ears.	Je suis tout ouïe.
I'm an adult.	Je suis adulte.
I'm an agent.	Je suis un agent.
I'm bleeding.	Je suis en train de saigner.
I'm confused.	Je me mélange les pinceaux.
I'm creative.	Je suis créatif.
I'm creative.	Je suis créative.
I'm cultured.	Je suis cultivé.
I'm cultured.	Je suis cultivée.
I'm divorced.	Je suis divorcé.
I'm divorced.	Je suis divorcée.
I'm drowning.	Je suis en train de me noyer.
I'm eighteen.	J'ai dix-huit ans.
I'm faithful.	Je suis fidèle.
I'm famished.	Je suis affamé !
I'm fearless.	Je suis intrépide.
I'm fighting.	Je me bats.
I'm finished.	J'ai terminé.
I'm finished.	J'en ai terminé.
I'm free now.	Je suis libre maintenant.
I'm freezing.	Je suis gelé.
I'm grounded.	Je suis cloué.
I'm grounded.	Je suis clouée.
I'm gullible.	Je suis crédule.
I'm homesick.	J'ai le mal du pays.
I'm hungover.	J'ai la gueule de bois.
I'm in Paris.	Je suis à Paris.
I'm innocent.	Je suis innocent.
I'm innocent.	Je suis innocente.
I'm innocent.	Je suis ingénu.
I'm innocent.	Je suis ingénue.
I'm involved.	Je suis impliqué.
I'm involved.	Je suis impliquée.
I'm managing.	Je m'en sors.
I'm new here.	Je suis nouveau, ici.
I'm no rebel.	Je ne suis pas un rebelle.
I'm no saint.	Je ne suis pas un saint.
I'm no saint.	Je ne suis pas une sainte.
I'm not busy.	Je ne suis pas occupé.
I'm not deaf.	Je ne suis pas sourd.
I'm not deaf.	Je ne suis pas sourde.
I'm not done.	Je n'ai pas fini.
I'm not done.	Je n'ai pas terminé.
I'm not done.	Je n'en ai pas terminé.
I'm not dumb.	Je ne suis pas abruti.
I'm not dumb.	Je ne suis pas abrutie.
I'm not evil.	Je ne suis pas mauvais.
I'm not here.	Je ne suis pas ici.
I'm not here.	Je ne suis pas là.
I'm not home.	Je ne suis pas chez moi.
I'm not home.	Je ne suis pas à la maison.
I'm not hurt.	Je ne suis pas blessé.
I'm not hurt.	Je ne suis pas blessée.
I'm not mean.	Je ne suis pas méchant.
I'm not mean.	Je ne suis pas méchante.
I'm not rich.	Je ne suis pas riche.
I'm not sure.	Je n'en suis pas certain.
I'm not sure.	Je n'en suis pas certaine.
I'm not tall.	Je ne suis pas grand.
I'm not tall.	Je ne suis pas grande.
I'm not ugly.	Je ne suis pas laid.
I'm not ugly.	Je ne suis pas laide.
I'm not well.	Je ne vais pas bien.
I'm off-duty.	Je ne suis pas en service.
I'm offended.	Je suis offensé.
I'm offended.	Je suis offensée.
I'm outraged.	Je suis indigné.
I'm outraged.	Je suis indignée.
I'm powerful.	Je suis puissant.
I'm powerful.	Je suis puissante.
I'm prepared.	Je suis prêt.
I'm prepared.	Je suis préparée.
I'm prepared.	Je suis préparé.
I'm punctual.	Je suis ponctuel.
I'm punctual.	Je suis ponctuelle.
I'm rational.	Je suis rationnel.
I'm rational.	Je suis rationnelle.
I'm reformed.	Je me suis amendé.
I'm reformed.	Je me suis amendée.
I'm reliable.	Je suis fiable.
I'm restless.	Je ne tiens pas en place.
I'm ruthless.	Je suis impitoyable.
I'm shooting.	Je tire.
I'm sleeping.	Je suis en train de dormir.
I'm so sorry.	Je suis tellement désolé !
I'm so sorry.	Je suis tellement désolée !
I'm so tired!	Je suis si fatigué !
I'm so tired!	Je suis tellement las !
I'm speaking.	Je suis en train de parler.
I'm starving!	Je meurs de faim !
I'm starving.	Je crève de faim !
I'm starving.	J'ai la fringale.
I'm stubborn.	Je suis têtu.
I'm stubborn.	Je suis têtue.
I'm stubborn.	Je suis obstiné.
I'm stubborn.	Je suis obstinée.
I'm the boss.	C'est moi le patron.
I'm the boss.	C'est moi la patronne.
I'm the boss.	Je suis le patron.
I'm the boss.	Je suis la patronne.
I'm thinking.	Je réfléchis.
I'm thorough.	Je suis minutieux.
I'm thorough.	Je suis minutieuse.
I'm thorough.	Je suis consciencieux.
I'm thorough.	Je suis consciencieuse.
I'm thrilled.	Je suis ravi.
I'm thrilled.	Je suis ravie.
I'm ticklish.	Je suis chatouilleux.
I'm ticklish.	Je suis chatouilleuse.
I'm too busy.	Je suis trop occupé.
I'm too busy.	Je suis trop occupée.
I'm too busy.	Je suis trop affairé.
I'm too busy.	Je suis trop affairée.
I'm truthful.	Je dis la vérité.
I'm unbiased.	Je suis impartial.
I'm unbiased.	Je suis impartiale.
I'm upstairs.	Je suis au-dessus.
I'm very fat.	Je suis très gros.
I'm very fat.	Je suis très gras.
I'm very sad.	Je suis très triste.
I'm very shy.	Je suis très timide.
I'm worn out.	Je suis épuisé.
I've checked.	J'ai vérifié.
I've decided.	J'ai décidé.
I've done it.	Je l'ai fait.
I've got you.	Je t'ai eu.
I've got you.	Je t'ai eue.
I've got you.	Je vous ai eu.
I've got you.	Je vous ai eue.
I've got you.	Je vous ai eus.
I've got you.	Je vous ai eues.
I've lost it.	Je l’ai perdu.
I've no idea.	Je n'ai aucune idée.
I've no idea.	Je n'en ai aucune idée.
I've retired.	J'ai pris ma retraite.
I've seen it.	Je l'ai vu.
Iron is hard.	Le fer est dur.
Is Tom alive?	Est-ce que Tom est vivant ?
Is Tom drunk?	Tom est-il saoul ?
Is Tom drunk?	Tom est-il ivre ?
Is Tom there?	Est-ce que Tom est là ?
Is Tom there?	Est ce que Tom est ici ?
Is it a deal?	Est-ce une bonne affaire ?
Is it a deer?	Est-ce un cerf ?
Is it a deer?	S'agit-il d'un cerf ?
Is it a joke?	Est-ce une blague ?
Is it a joke?	S'agit-il d'une blague ?
Is it a wolf?	Est-ce un loup ?
Is it a wolf?	Est-ce une louve ?
Is it an elk?	Est-ce un élan ?
Is it broken?	Est-ce cassé ?
Is it broken?	Est-ce brisé ?
Is it cancer?	S'agit-il d'un cancer ?
Is it cloudy?	Est-ce nuageux ?
Is it enough?	Est-ce assez ?
Is it nearby?	Est-ce proche ?
Is it nearby?	Est-ce dans les environs ?
Is that a no?	Est-ce un non ?
Is that love?	C'est ça l'amour ?
Is that love?	Est-ce de l'amour ?
Is that true?	C'est vrai ?
Is this fake?	Est-ce une imitation ?
Is this fake?	Est-ce une simulation ?
Is this fake?	Est-ce du chiqué ?
Is this fake?	C'est du chiqué ?
Is this fake?	Est-ce un pastiche ?
Is this love?	C'est ça l'amour ?
Is this love?	Est-ce de l'amour ?
Is this love?	Est-ce de l'amour ?
Is this love?	Est-ce l'amour ?
Is this love?	Serait-ce de l'amour ?
Is this wine?	S'agit-il de vin ?
Is this wine?	Est-ce du vin ?
It amazed me.	Ça m'a épaté.
It felt good.	Ça faisait du bien.
It has begun.	Ça a commencé.
It is a book.	C'est un livre.
It is a book.	Ceci est un livre.
It is a song.	C'est une chanson.
It is my cat.	C'est mon chat.
It is unfair.	C'est injuste.
It isn't new.	Ce n'est pas nouveau.
It scared me.	Ça m'a fait peur.
It took time.	Ça a pris du temps.
It was black.	C'était noir.
It was night.	Il faisait nuit.
It was night.	C'était la nuit.
It was noisy.	C'était bruyant.
It was white.	C'était blanc.
It wasn't me.	Ce n'était pas moi.
It will burn.	Ça va brûler.
It will heal.	Cela guérira.
It'll happen.	Ça arrivera.
It'll happen.	Ça surviendra.
It'll happen.	Ça aura lieu.
It's a curse.	C'est une malédiction.
It's a shame.	C'est dommage.
It's all wet.	Tout est mouillé.
It's awesome.	C'est génial.
It's awesome.	C'est super.
It's awesome.	C'est effarant.
It's bedtime.	Il est temps de dormir.
It's bedtime.	C'est l'heure de se coucher.
It's complex.	C'est compliqué.
It's complex.	C'est complexe.
It's for you.	C'est pour toi.
It's for you.	C'est pour vous.
It's garbage.	Ce sont des conneries.
It's garbage.	C'est de la daube.
It's garbage.	Ce sont des détritus.
It's hideous.	C'est hideux.
It's missing.	C'est manquant.
It's missing.	Ça fait défaut.
It's morning.	On est le matin.
It's my book.	C'est mon livre.
It's my turn.	C'est mon tour.
It's no good.	Ce n'est pas bon.
It's no joke.	Ce n'est pas une blague.
It's not new.	Ce n'est pas nouveau.
It's nothing.	Ce n'est rien.
It's obvious.	C'est évident.
It's obvious.	C'est patent.
It's obvious.	Cela coule de source.
It's on fire.	C'est en feu.
It's on fire.	C'est déchaîné.
It's our car.	C'est notre voiture.
It's perfect.	C'est parfait.
It's serious.	C'est sérieux.
It's snowing.	Il neige.
It's started.	C'est commencé.
It's suicide.	C'est du suicide.
It's the law.	C'est la loi.
It's too big.	C'est trop grand.
It's too big.	C'est trop gros.
It's too hot.	Il fait trop chaud.
Just say yes.	Dis juste oui !
Just say yes.	Dites juste oui !
Keep driving.	Avance !
Keep driving.	Continue à rouler !
Keep driving.	Continuez à rouler !
Keep driving.	Roule !
Keep driving.	Roulez !
Keep it warm.	Garde-le au chaud.
Keep looking.	Continue à regarder !
Keep looking.	Continuez à regarder !
Keep reading.	Continuez à lire !
Keep reading.	Continue à lire !
Keep running.	Continue à courir.
Keep running.	Continuez à courir.
Keep working.	Continue à travailler !
Keep working.	Continuez à travailler !
Ladies first.	Les femmes d'abord.
Lead the way.	Montre le chemin.
Lead the way.	Montrez le chemin.
Let go of it.	Oublie ça.
Let go of me.	Lâche-moi !
Let go of me.	Lâchez-moi !
Let her talk.	Laisse-la parler.
Let her talk.	Laissez-la parler.
Let him talk.	Laisse-le parler.
Let him talk.	Laissez-le parler.
Let me check.	Laisse-moi vérifier.
Let me check.	Laissez-moi vérifier.
Let me check.	Laisse-moi contrôler.
Let me check.	Laissez-moi contrôler.
Let me leave!	Laisse-moi partir !
Let me sleep.	Laisse-moi dormir.
Let me sleep.	Laissez-moi dormir.
Let's all go.	Allons-y tous !
Let's all go.	Allons-y toutes !
Let's bounce.	Rebondissons !
Let's go now.	Allons-y maintenant.
Let's listen.	Écoutons !
Let's not go.	N'y allons pas !
Let's not go.	Ne partons pas !
Life goes on.	La vie continue.
Life is hard.	La vie est dure.
Look at this.	Regarde ça !
Look at this.	Regardez ça !
Look closely.	Regarde attentivement.
Make a guess.	Devine !
Make a guess.	Hasarde une hypothèse !
Mary is cute.	Marie est mignonne.
May I cut in?	Puis-je vous interrompre ?
May I try it?	Est-ce que je peux l'essayer ?
Men are pigs.	Les hommes sont des cochons.
Men are pigs.	Les hommes sont des égoïstes.
Must I go on?	Dois-je continuer ?
Must I hurry?	Dois-je me dépêcher ?
My eyes hurt.	J'ai mal aux yeux.
My feet hurt.	Mes pieds me font mal.
My hip hurts.	Ma hanche me fait mal.
Need I go on?	Ai-je besoin de continuer ?
No one cared.	Personne ne s'en souciait.
No one cares.	Tout le monde s'en fout.
No one cares.	Tout le monde s'en fiche.
No one cares.	Personne ne s'en soucie.
No one knows.	Personne ne sait.
No one moved.	Personne ne bougea.
No one moved.	Personne n'a bougé.
No one spoke.	Personne ne parla.
No one spoke.	Personne n'a parlé.
Nobody asked.	Personne n'a demandé.
Nobody knows.	Personne ne sait.
Now drink up.	Maintenant, bois d'un coup !
Now drink up.	Maintenant, buvez d'un coup !
Now drink up.	Finis ton verre, maintenant !
Now drink up.	Vide ton verre, maintenant !
Now drink up.	Videz votre verre, maintenant !
Now drink up.	Finissez votre verre, maintenant !
Now fix that.	Maintenant, répare ça.
Now fix that.	Maintenant, corrigez cela.
Now leave us.	Maintenant laissez nous.
Now leave us.	Maintenant laisse-nous.
Now leave us.	Vous pouvez disposer.
OK. Go ahead.	D'accord, allez-y.
Our eyes met.	Nos yeux se sont croisés.
Play it cool.	Joue-la pépère.
Please hurry.	Dépêchez-vous s'il vous plaît.
Please leave.	Veuillez vous en aller.
Please leave.	Pars, s'il te plaît.
Please leave.	Pars, je te prie.
Please leave.	Je te prie de partir.
Please leave.	Je vous prie de partir.
Please relax.	S'il te plaît, calme-toi.
Please smile.	Souris, s'il te plaît !
Please smile.	Souris, je te prie !
Please smile.	Souriez, s'il vous plaît !
Please smile.	Souriez, je vous prie !
Please smile.	Veuillez sourire !
See you soon!	À bientôt !
See you soon!	À tout à l'heure !
Set Tom free.	Libère Tom.
Set Tom free.	Libérez Tom.
Shame on you!	Honte à toi !
Shame on you.	Honte à toi !
She can swim.	Elle sait nager.
She helps us.	Elle nous aide.
She is a fox.	C'est un renard.
She is lucky.	Elle est chanceuse.
She is lucky.	Elle est chançarde.
She is quiet.	Elle est tranquille.
She is sharp.	Elle est tranchante.
She is sharp.	Elle est affûtée.
She is wrong.	Elle a tort.
She is young.	Elle est jeune.
She knows me.	Elle me connaît.
She liked it.	Elle l'apprécia.
She liked it.	Elle l'a apprécié.
She liked it.	Elle a aimé ça.
She may come.	Peut-être viendra-t-elle.
She shot him.	Elle lui tira dessus.
She shot him.	Elle le descendit.
She shrieked.	Elle a crié.
She shrieked.	Elle cria.
She stood up.	Elle se leva.
She sued him.	Elle l'a poursuivi en justice.
She sued him.	Elle le poursuivit en justice.
She sued him.	Elle lui a fait un procès.
She sued him.	Elle lui fit un procès.
She was busy.	Elle était occupée.
She went out.	Elle est partie.
She went out.	Elle sortit.
Should we go?	Devrions-nous y aller ?
Someone came.	Quelqu'un est venu.
Stay a while.	Reste un moment !
Stay with me.	Reste avec moi.
Stay with me.	Restez avec moi.
Stay with us.	Reste avec nous.
Stay with us.	Restez avec nous.
Stay with us.	Demeure avec nous.
Stay with us.	Demeurez avec nous.
Stop arguing.	Arrête de te disputer !
Stop arguing.	Arrête de te quereller !
Stop arguing.	Arrêtez de vous quereller !
Stop arguing.	Arrêtez de vous disputer !
Stop filming.	Arrête de filmer.
Stop gawking.	Arrête de bayer aux corneilles.
Stop reading.	Arrêtez de lire.
Stop reading.	Arrête de lire.
Stop smoking.	Arrête de fumer.
Stop staring.	Arrête de me fixer !
Stop staring.	Arrêtez de me fixer !
Stop talking.	Arrête de parler.
Stop the car.	Arrête la voiture !
Stop the car.	Arrêtez la voiture !
Stop yelling!	Arrête de hurler !
Stop yelling!	Arrêtez de hurler !
Stop yelling!	Cesse de hurler !
Stop yelling!	Cessez de hurler !
Stop yelling.	Arrête de hurler.
Stop yelling.	Arrêtez de hurler.
Sweet dreams!	Fais de beaux rêves !
Sweet dreams!	Faites de beaux rêves !
Take a break.	Fais une pause !
Take a break.	Faites une pause !
Take a break.	Fais une pause.
Take a whiff.	Prends une bouffée.
Take it easy!	Détendez-vous !
Take it easy!	Relaxe, Max !
Take it easy!	Cool, Raoul !
Take it easy!	Relaxe !
Take it easy.	Reste cool.
Take me home.	Amène-moi à la maison.
Tell me more.	Dis-m'en davantage.
Tell me more.	Conte-m'en davantage !
Thanks a lot.	Merci bien.
Thanks a lot.	Mille mercis.
That is mine.	C'est le mien.
That is mine.	C'est la mienne.
That is mine.	C'est à moi.
That will do.	Ça fera l'affaire.
That's a lie.	Il s'agit d'un mensonge.
That's a lot!	C'est beaucoup !
That's clear.	C'est clair.
That's crazy.	C'est fou.
That's crazy.	C'est dingue.
That's funny.	C'est amusant.
That's funny.	C'est drôle.
That's great!	C'est grand !
That's great!	Super !
That's right!	C'est vrai !
That's right!	C'est juste !
That's right.	C'est exact.
That's right.	C'est juste.
That's weird.	C'est bizarre.
They approve.	Ils approuvent.
They approve.	Elles approuvent.
They crashed.	Ils se sont écrasés.
They crashed.	Elles se sont écrasées.
They escaped.	Ils se sont échappés.
They escaped.	Elles se sont échappées.
They gave up.	Ils ont abandonné.
They gave up.	Elles ont abandonné.
They gave up.	Ils abandonnèrent.
They gave up.	Elles abandonnèrent.
They hate us.	Ils nous détestent.
They hate us.	Elles nous détestent.
They know us.	Elles nous connaissent.
They laughed.	Ils ont ri.
They laughed.	Elles ont ri.
They refused.	Ils ont refusé.
They refused.	Elles ont refusé.
They relaxed.	Ils se sont détendus.
They relaxed.	Elles se sont détendues.
They said no.	Ils dirent non.
They said no.	Elles dirent non.
They said no.	Ils ont dit non.
They said no.	Elles ont dit non.
They sweated.	Ils ont transpiré.
They sweated.	Elles ont transpiré.
They'll grow.	Ils grandiront.
They'll grow.	Elles grandiront.
They're back.	Ils sont de retour.
They're back.	Elles sont de retour.
They're boys.	Ce sont des garçons.
They're cold.	Ils sont froids.
They're cold.	Elles sont froides.
They're cool.	Ils sont sympa.
They're cool.	Elles sont sympa.
They're cops.	Ce sont des flics.
They're cute.	Ils sont mignons.
They're cute.	Elles sont mignonnes.
They're dead.	Ils sont décédés.
They're dead.	Elles sont décédées.
They're done.	Ils ont terminé.
They're done.	Elles ont terminé.
They're free.	Ils sont libres.
They're free.	Elles sont libres.
They're gone.	Ils sont partis.
They're gone.	Elles sont parties.
They're gone.	Il n'y en a plus.
They're here.	Ils sont là.
They're mine.	Ils sont à moi.
They're mine.	Ils sont miens.
They're mine.	Ce sont les miens.
They're mine.	Ce sont les miennes.
They're mine.	Elles sont miennes.
They're mine.	Elles sont à moi.
They're rich.	Ils sont riches.
They're rich.	Elles sont riches.
They're weak.	Ils sont faibles.
They're weak.	Elles sont faibles.
This is easy.	C'est simple.
This is fine.	C'est parfait.
This is free.	C'est gratuit.
This is gold.	C'est de l'or.
This is hers.	Ce sont les siens.
This is hers.	Ce sont les siennes.
This is huge.	C'est énorme.
This is lame.	C'est mauvais.
This is life!	C'est la vie !
This is love.	C'est l'amour.
This is love.	C'est de l'amour.
This is mine.	C'est le mien.
This is mine.	Il s'agit du mien.
This is nice.	C'est chouette.
This is sick.	C'est dingue.
This is ugly.	C'est hideux.
This is ugly.	C'est laid.
Tom finished.	Tom a fini.
Tom is a spy.	Tom est un espion.
Tom is awful.	Tom est horrible.
Tom is blind.	Tom est aveugle.
Tom is cruel.	Tom est cruel.
Tom is drunk.	Tom est soûl.
Tom is drunk.	Tom est saoul.
Tom is drunk.	Tom est ivre.
Tom is dying.	Tom meurt.
Tom is there.	Tom est là-bas.
Tom listened.	Tom écouta.
Tom loved it.	Tom adorait ça.
Tom needs me.	Tom a besoin de moi.
Tom shrugged.	Tom haussa les épaules.
Tom stutters.	Tom bégaie.
Tom was poor.	Tom était pauvre.
Tom was shot.	Tom s'est fait tirer dessus.
Tom will cry.	Tom va pleurer.
Tom's afraid.	Tom est effrayé.
Tom's afraid.	Tom est apeuré.
Tom's asleep.	Tom est endormi.
Tom's coming.	Tom vient.
Tom's coming.	Tom arrive.
Tom's eating.	Tom est en train de manger.
Tom's famous.	Tom est célèbre.
Tom's famous.	Tom est connu.
Tom's guilty.	Tom est coupable.
Trust no one.	Ne vous fiez à personne !
Trust no one.	Ne te fie à personne !
Trust no one.	Ne fais confiance à personne !
Trust no one.	Ne faites confiance à personne !
Try it again.	Essaie encore.
Try it again.	Essaye encore.
Try it again.	Essaie de nouveau.
Try it again.	Essaye de nouveau.
Try it again.	Essaie à nouveau.
Try it again.	Essaye à nouveau.
Try to sleep.	Essaie de dormir.
Try to sleep.	Essayez de dormir.
Unbelievable!	Incroyable !
Use them all.	Utilise-les tous !
Use them all.	Utilise-les toutes !
Use them all.	Utilisez-les tous !
Use them all.	Utilisez-les toutes !
Wait a while.	Attendez un moment.
Wait a while.	Attends un moment !
Wait for Tom.	Attends Tom.
Wait for Tom.	Attendez Tom.
Want a drink?	Veux-tu un verre ?
We all cried.	Nous avons tous pleuré.
We all cried.	Nous avons toutes pleuré.
We apologize.	Nous présentons nos excuses.
We are Arabs.	Nous sommes arabes.
We are happy.	Nous sommes heureux.
We can't win.	Nous ne pouvons par l'emporter.
We could die.	Nous pourrions mourir.
We felt good.	Nous nous sommes sentis bien.
We get on OK.	Nous nous entendons bien.
We get on OK.	On s'entend bien.
We got lucky.	Nous avons eu de la chance.
We got lucky.	On a eu de la chance.
